exp_id,timestamp,approach,model,variant,hyperparams,train_time_s,val_acc,val_loss,notes
exp_baseline_cnn,2025-11-26T23:22:43.555045,deep,BaselineCNN,sequential_dropout0.5,"{""lr"": 0.001, ""dropout"": 0.5}",395.3828446865082,0.9790051579475404,0.0877816081047058,Simple CNN baseline
exp_resnet_frozen,2025-11-26T23:32:55.425555,deep,ResNet50,frozen_head,"{""lr"": 0.001, ""dropout"": 0.5}",551.5656769275665,0.9806201457977295,0.07111281901597977,Transfer learning with frozen base
